@relation crop_recommendation

@attribute N numeric
@attribute P numeric
@attribute K numeric
@attribute temperature numeric
@attribute humidity numeric
@attribute ph numeric
@attribute rainfall numeric
@attribute label {rice,maize,chickpea,kidneybeans,pigeonpeas,mothbeans,mungbean,blackgram,lentil,pomegranate,banana,mango,grapes,watermelon,muskmelon,apple,orange,papaya,coconut,cotton,jute,coffee}

@data
% ─── rice ───────────────────────────────────────────────────────────────
90,42,43,20.9,82.0,6.5,202.9,rice
85,58,41,21.3,80.3,5.7,226.7,rice
70,45,50,23.0,81.4,5.9,246.8,rice
91,55,45,25.9,86.5,6.3,261.1,rice
80,40,40,24.1,84.8,6.8,222.5,rice
95,58,43,22.7,82.9,5.6,230.0,rice
62,46,48,26.5,88.0,6.1,250.5,rice
75,50,55,20.4,85.0,6.0,275.0,rice
88,42,42,23.8,81.6,6.4,295.0,rice
100,55,40,22.0,83.5,5.8,210.0,rice
% ─── maize ──────────────────────────────────────────────────────────────
77,52,73,22.6,62.0,6.5,71.4,maize
85,58,68,20.0,55.3,6.0,58.9,maize
88,62,60,23.4,67.1,6.2,99.4,maize
72,50,65,24.9,62.8,5.8,80.2,maize
90,62,72,18.4,66.5,7.0,51.3,maize
80,55,68,21.0,59.0,6.8,65.0,maize
70,60,75,19.5,70.0,5.5,90.0,maize
85,53,62,22.0,64.0,6.3,75.0,maize
78,48,64,25.0,58.0,7.5,55.0,maize
82,51,67,20.5,63.5,6.1,85.0,maize
% ─── chickpea ───────────────────────────────────────────────────────────
40,68,79,18.0,15.0,6.5,51.0,chickpea
25,70,80,19.5,16.0,5.8,64.0,chickpea
30,75,82,22.0,18.0,6.2,70.0,chickpea
20,65,78,21.3,14.5,7.0,55.0,chickpea
35,72,85,18.8,19.0,5.5,68.0,chickpea
38,80,77,20.1,17.0,6.0,72.0,chickpea
22,68,80,23.0,15.5,6.5,58.0,chickpea
28,73,83,19.0,18.5,6.8,62.0,chickpea
32,76,79,21.7,14.0,5.6,75.0,chickpea
26,69,81,18.5,16.8,6.3,53.0,chickpea
% ─── kidneybeans ────────────────────────────────────────────────────────
20,68,21,20.0,22.0,5.8,86.0,kidneybeans
22,72,19,18.5,21.0,6.2,93.0,kidneybeans
18,75,23,21.0,24.0,6.5,101.0,kidneybeans
15,65,18,19.5,20.5,7.0,82.0,kidneybeans
25,80,25,22.0,25.0,5.5,99.0,kidneybeans
19,70,20,20.8,23.0,6.0,88.0,kidneybeans
23,78,22,18.0,21.5,6.8,95.0,kidneybeans
17,67,24,21.5,22.5,5.9,80.0,kidneybeans
21,74,18,19.0,20.0,6.4,104.0,kidneybeans
16,71,21,20.5,24.5,6.1,91.0,kidneybeans
% ─── pigeonpeas ─────────────────────────────────────────────────────────
20,68,38,28.0,50.0,5.8,108.0,pigeonpeas
22,72,41,30.0,55.0,6.0,122.0,pigeonpeas
18,75,43,27.5,48.5,6.5,135.0,pigeonpeas
24,80,45,31.0,58.0,5.5,100.0,pigeonpeas
21,65,36,29.0,52.0,7.0,115.0,pigeonpeas
19,70,40,28.5,49.0,6.2,140.0,pigeonpeas
23,78,42,31.5,60.0,5.8,128.0,pigeonpeas
20,67,37,27.0,53.0,6.5,105.0,pigeonpeas
22,73,44,30.5,56.0,6.0,118.0,pigeonpeas
18,76,39,29.5,50.5,5.6,132.0,pigeonpeas
% ─── mothbeans ──────────────────────────────────────────────────────────
21,48,30,28.5,45.0,4.5,40.0,mothbeans
19,50,32,31.0,50.0,5.0,48.0,mothbeans
23,52,34,33.0,42.0,5.5,55.0,mothbeans
18,45,29,29.5,53.0,3.8,37.0,mothbeans
24,55,35,34.5,41.0,6.0,58.0,mothbeans
20,47,31,27.5,47.0,4.2,42.0,mothbeans
22,53,33,30.0,52.0,5.8,50.0,mothbeans
21,49,28,32.5,44.0,3.5,36.0,mothbeans
19,51,34,28.0,55.0,6.5,52.0,mothbeans
23,46,30,35.0,40.5,4.8,45.0,mothbeans
